"","Name","Score","gene_names"
"ENSG00000055118","ENSG00000055118",0.0279565867748954,"KCNH2"
"ENSG00000130037","ENSG00000130037",0.0279565867748954,"KCNA5"
"ENSG00000182985","ENSG00000182985",0.0282474200817915,"CADM1"
"ENSG00000075035","ENSG00000075035",0.0291335465687303,"WSCD2"
"ENSG00000124215","ENSG00000124215",0.0291335465687303,"CDH26"
"ENSG00000179913","ENSG00000179913",0.0294335033926868,"B3GNT3"
"ENSG00000059804","ENSG00000059804",0.029559033238867,"SLC2A3"
"ENSG00000187323","ENSG00000187323",0.0297357705261373,"DCC"
"ENSG00000096996","ENSG00000096996",0.0300403598016207,"IL12RB1"
"ENSG00000198049","ENSG00000198049",0.0303472830818994,"AVPR1B"
"ENSG00000033170","ENSG00000033170",0.0309681792590099,"FUT8"
"ENSG00000153563","ENSG00000153563",0.0315985545640399,"CD8A"
"ENSG00000160868","ENSG00000160868",0.0319173268675564,"CYP3A4"
"ENSG00000157087","ENSG00000157087",0.0325621009971123,"ATP2B2"
"ENSG00000115705","ENSG00000115705",0.0325621009971123,"TPO"
"ENSG00000153822","ENSG00000153822",0.0328881270020304,"KCNJ16"
"ENSG00000166676","ENSG00000166676",0.0332165951366671,"TVP23A"
"ENSG00000197177","ENSG00000197177",0.0335475175660208,"ADGRA1"
"ENSG00000146904","ENSG00000146904",0.0335822279092645,"EPHA1"
"ENSG00000150394","ENSG00000150394",0.0338809064853135,"CDH8"
"ENSG00000108932","ENSG00000108932",0.0342167741199906,"SLC16A6"
"ENSG00000082556","ENSG00000082556",0.0352528052034354,"OPRK1"
"ENSG00000088053","ENSG00000088053",0.0358212198863318,"GP6"
"ENSG00000178233","ENSG00000178233",0.0366382848778794,"TMEM151B"
"ENSG00000099365","ENSG00000099365",0.0369944259785047,"STX1B"
"ENSG00000137747","ENSG00000137747",0.0371820810672032,"TMPRSS13"
"ENSG00000189068","ENSG00000189068",0.0373531571835864,"VSTM1"
"ENSG00000085563","ENSG00000085563",0.0380784400480691,"ABCB1"
"ENSG00000029534","ENSG00000029534",0.0391861043025225,"ANK1"
"ENSG00000117598","ENSG00000117598",0.0391861043025225,"PLPPR5"
"ENSG00000165970","ENSG00000165970",0.0393547156340813,"SLC6A5"
"ENSG00000130303","ENSG00000130303",0.0395606402734816,"BST2"
"ENSG00000170837","ENSG00000170837",0.0399055647318119,"GPR27"
"ENSG00000104369","ENSG00000104369",0.0399378546773636,"JPH1"
